ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
0,176492263,3.359428644180298,0.1023019606800677,0.8147356751732587,24.0,0.0
1,1493653684,3.2656760215759277,0.08063801016374247,0.8579226551957612,24.0,0.0
2,511233635,3.2344141006469727,0.13906930709381013,0.675120143276171,24.0,0.0
3,1881481959,3.3125412464141846,0.09233774709895641,0.8452409486094757,24.0,0.0
4,743055457,3.0937888622283936,0.05701897633503087,0.9970384676574472,24.0,0.0
5,1157669990,3.093790054321289,0.17571206469641454,0.6119842687415261,24.0,0.0
6,1196383116,2.9687867164611816,0.19147728767577113,0.6785547452676891,24.0,0.0
7,11993418,2.859409809112549,0.14323386544615802,0.6990165532033231,24.0,0.0
8,1925815380,3.0000357627868652,0.07079628677657772,0.9708352784196712,24.0,0.0
9,1679190915,2.8437838554382324,0.09225285444306211,0.8626089441591509,24.0,0.0
10,1233488550,2.656283140182495,0.06643808581842962,0.9979387653979234,24.0,0.0
11,91474274,2.5469093322753906,0.12424034434248318,0.7961007527913835,24.0,0.0
12,798270643,2.484407901763916,0.15176632369897908,0.7148620046426118,24.0,0.0
13,427490248,2.9219112396240234,0.1295960531792882,0.6999641019672255,24.0,0.0
14,1364924219,2.3594064712524414,0.05855997533237055,0.9944130733318423,24.0,0.0
15,1994447705,2.5156567096710205,0.11775984987622656,0.761800414816893,24.0,0.0
