Scenario name,Rate of gonorrhea cases,"% cases successfully treated with CIP, TET, or CRO",% cases susceptible to CIP,% cases susceptible to TET,% cases susceptible to CRO,"Effective lifespan of CIP, TET, and CRO",Effective lifespan of CIP,Effective lifespan of TET,Effective lifespan of CRO,delta - Rate of gonorrhea cases,"delta - Effective lifespan of CIP, TET, and CRO",delta - Effective lifespan of CIP,delta - Effective lifespan of TET,delta - Effective lifespan of CRO
Status quo (no rapid test),"17,207 (8,223, 35,545)","69.8% (49.1%, 85.5%)","72.2% (52.8%, 86.3%)","17.4% (9.8%, 29.1%)","66.8% (46.3%, 83.1%)","17.5 (12.3, 21.4)","18.1 (13.2, 21.6)","4.4 (2.4, 7.3)","16.7 (11.6, 20.8)",,,,,
"p=(None, None), q=(None, None), c=0.500, f=0.98)","11,443 (5,234, 28,993)","80.7% (55.8%, 96.9%)","55.2% (35.8%, 73.7%)","12.3% (7.2%, 19.2%)","77.9% (52.8%, 95.5%)","20.2 (13.9, 24.2)","13.8 (8.9, 18.4)","3.1 (1.8, 4.8)","19.5 (13.2, 23.9)","-35.2% (-58.1%, -14.2%)","15.8% (5.9%, 31.2%)","-23.7% (-47.3%, -5.2%)","-27.1% (-57.5%, 8.1%)","16.7% (6.4%, 32.0%)"
"p=(None, None), q=(None, None), c=0.750, f=0.98)","11,586 (5,299, 29,158)","81.0% (55.6%, 97.2%)","54.4% (35.7%, 72.0%)","11.9% (7.1%, 19.0%)","78.4% (53.0%, 96.1%)","20.3 (13.9, 24.3)","13.6 (8.9, 18.0)","3.0 (1.8, 4.8)","19.6 (13.2, 24.0)","-34.3% (-57.9%, -13.7%)","16.3% (6.3%, 32.0%)","-24.9% (-47.4%, -6.0%)","-29.6% (-60.8%, 3.5%)","17.5% (6.8%, 33.7%)"
"p=(None, None), q=(None, None), c=1.000, f=0.98)","11,602 (5,398, 29,489)","81.5% (55.4%, 96.4%)","53.8% (34.7%, 72.4%)","11.5% (7.0%, 18.0%)","78.9% (52.9%, 95.4%)","20.4 (13.9, 24.1)","13.5 (8.7, 18.1)","2.9 (1.7, 4.5)","19.7 (13.2, 23.8)","-33.9% (-57.2%, -13.1%)","17.0% (6.5%, 33.2%)","-25.7% (-47.5%, -6.6%)","-31.6% (-62.3%, -0.9%)","18.3% (7.2%, 35.0%)"
"p=(None, None), q=(None, None), c=0.500, f=1.00)","13,177 (6,396, 31,209)","80.6% (55.3%, 95.5%)","55.2% (35.8%, 74.0%)","12.3% (7.2%, 20.0%)","77.7% (52.5%, 94.0%)","20.1 (13.8, 23.9)","13.8 (8.9, 18.5)","3.1 (1.8, 5.0)","19.4 (13.1, 23.5)","-24.2% (-46.2%, -5.2%)","15.6% (5.1%, 30.3%)","-23.8% (-46.8%, -6.0%)","-26.9% (-58.8%, 4.6%)","16.4% (5.3%, 30.9%)"
"p=(None, None), q=(None, None), c=0.750, f=1.00)","13,322 (6,558, 31,413)","80.9% (55.3%, 96.3%)","54.3% (34.5%, 72.9%)","11.9% (7.0%, 19.1%)","78.2% (52.7%, 94.9%)","20.2 (13.8, 24.1)","13.6 (8.6, 18.2)","3.0 (1.8, 4.8)","19.5 (13.2, 23.7)","-23.3% (-45.4%, -4.2%)","16.0% (4.7%, 31.6%)","-25.1% (-48.5%, -7.6%)","-29.4% (-59.5%, 1.6%)","17.2% (5.1%, 33.4%)"
"p=(None, None), q=(None, None), c=1.000, f=1.00)","13,412 (6,789, 31,335)","81.3% (55.2%, 96.6%)","53.7% (34.6%, 73.6%)","11.6% (6.8%, 18.8%)","78.6% (52.6%, 95.6%)","20.3 (13.8, 24.2)","13.4 (8.6, 18.4)","2.9 (1.7, 4.7)","19.7 (13.1, 23.9)","-22.5% (-42.9%, -3.7%)","16.6% (6.3%, 32.5%)","-25.9% (-47.4%, -8.0%)","-31.5% (-61.6%, -1.4%)","17.9% (6.8%, 34.5%)"
"p=(None, None), q=(None, None), c=0.500, f=1.02)","14,964 (7,797, 33,095)","80.5% (55.3%, 96.0%)","55.2% (35.6%, 74.1%)","12.4% (7.3%, 20.3%)","77.6% (52.5%, 94.5%)","20.1 (13.8, 24.0)","13.8 (8.9, 18.5)","3.1 (1.8, 5.1)","19.4 (13.1, 23.6)","-12.6% (-34.7%, 8.0%)","15.5% (4.5%, 31.2%)","-23.8% (-46.6%, -5.8%)","-26.6% (-58.4%, 7.1%)","16.3% (4.9%, 32.3%)"
"p=(None, None), q=(None, None), c=0.750, f=1.02)","15,078 (7,686, 33,589)","80.9% (54.9%, 96.8%)","54.4% (34.9%, 73.2%)","12.0% (7.1%, 18.9%)","78.2% (52.3%, 95.7%)","20.2 (13.7, 24.2)","13.6 (8.7, 18.3)","3.0 (1.8, 4.7)","19.5 (13.1, 23.9)","-11.9% (-33.8%, 7.9%)","16.0% (4.7%, 30.9%)","-25.0% (-48.0%, -5.7%)","-29.0% (-61.2%, 2.9%)","17.2% (4.9%, 32.6%)"
"p=(None, None), q=(None, None), c=1.000, f=1.02)","15,178 (7,951, 33,198)","81.3% (55.6%, 97.1%)","53.8% (34.4%, 72.6%)","11.6% (6.9%, 18.7%)","78.6% (53.0%, 96.0%)","20.3 (13.9, 24.3)","13.4 (8.6, 18.1)","2.9 (1.7, 4.7)","19.7 (13.3, 24.0)","-10.9% (-37.4%, 10.1%)","16.7% (4.9%, 33.2%)","-25.8% (-47.2%, -7.1%)","-31.0% (-61.5%, 1.1%)","17.9% (5.3%, 34.2%)"
